,cid,qno,type,qid,diff_level,res_time,correctness,next_diff
0,0,0,0,108,medium,19,1,hard
1,0,1,0,94,hard,22,0,medium
2,0,2,0,53,medium,45,1,medium
3,0,3,0,105,medium,45,1,medium
4,0,4,0,49,medium,58,1,medium
5,0,5,0,24,medium,58,1,medium
6,0,6,0,180,medium,45,0,easy
7,0,7,0,44,easy,15,1,medium
8,0,8,0,205,medium,16,1,hard
9,0,9,0,32,hard,55,1,hard
10,0,0,1,351,medium,50,1,medium
11,0,1,1,234,medium,59,0,easy
12,0,2,1,335,easy,5,1,medium
13,0,3,1,287,medium,19,1,hard
14,0,4,1,420,hard,42,1,hard
15,0,5,1,298,hard,57,1,hard
16,0,6,1,389,hard,29,1,hard
17,0,7,1,324,hard,11,1,hard
18,0,8,1,248,hard,45,1,hard
19,0,9,1,387,hard,23,1,hard
20,0,0,2,612,medium,33,0,easy
21,0,1,2,490,easy,54,0,easy
22,0,2,2,486,easy,47,1,easy
23,0,3,2,510,easy,26,1,easy
24,0,4,2,441,easy,57,1,easy
25,0,5,2,615,easy,48,0,easy
26,0,6,2,474,easy,26,1,easy
27,0,7,2,464,easy,48,1,easy
28,0,8,2,558,easy,47,1,easy
29,0,9,2,472,easy,50,0,easy
30,1,0,0,105,medium,22,1,medium
31,1,1,0,63,medium,9,1,hard
32,1,2,0,75,hard,24,1,hard
33,1,3,0,132,hard,59,1,hard
34,1,4,0,156,hard,45,1,hard
35,1,5,0,55,hard,43,0,medium
36,1,6,0,202,medium,22,0,easy
37,1,7,0,213,easy,40,1,easy
38,1,8,0,116,easy,26,1,easy
39,1,9,0,103,easy,56,0,easy
40,1,0,1,381,medium,41,1,medium
41,1,1,1,376,medium,34,0,easy
42,1,2,1,227,easy,45,0,easy
43,1,3,1,321,easy,6,1,medium
44,1,4,1,215,medium,19,1,hard
45,1,5,1,359,hard,53,0,medium
46,1,6,1,297,medium,56,1,medium
47,1,7,1,368,medium,51,0,easy
48,1,8,1,352,easy,24,1,easy
49,1,9,1,236,easy,60,1,easy
50,1,0,2,566,medium,5,1,hard
51,1,1,2,515,hard,52,0,medium
52,1,2,2,469,medium,21,1,medium
53,1,3,2,532,medium,9,0,medium
54,1,4,2,650,medium,46,1,medium
55,1,5,2,528,medium,13,0,medium
56,1,6,2,637,medium,22,0,easy
57,1,7,2,575,easy,39,1,easy
58,1,8,2,635,easy,41,1,easy
59,1,9,2,432,easy,60,1,easy
60,2,0,0,93,medium,25,0,easy
61,2,1,0,196,easy,44,1,easy
62,2,2,0,159,easy,31,1,easy
63,2,3,0,192,easy,21,1,easy
64,2,4,0,11,easy,53,1,easy
65,2,5,0,162,easy,42,1,easy
66,2,6,0,112,easy,26,1,easy
67,2,7,0,193,easy,36,0,easy
68,2,8,0,209,easy,39,1,easy
69,2,9,0,10,easy,35,0,easy
70,2,0,1,232,medium,32,1,medium
71,2,1,1,347,medium,60,1,medium
72,2,2,1,214,medium,26,0,easy
73,2,3,1,216,easy,34,0,easy
74,2,4,1,408,easy,33,0,easy
75,2,5,1,417,easy,58,1,easy
76,2,6,1,286,easy,47,0,easy
77,2,7,1,245,easy,50,1,easy
78,2,8,1,425,easy,35,1,easy
79,2,9,1,300,easy,40,0,easy
80,2,0,2,497,medium,55,1,medium
81,2,1,2,492,medium,7,1,hard
82,2,2,2,580,hard,60,0,medium
83,2,3,2,588,medium,29,1,medium
84,2,4,2,531,medium,24,0,easy
85,2,5,2,524,easy,33,1,easy
86,2,6,2,438,easy,31,0,easy
87,2,7,2,447,easy,47,1,easy
88,2,8,2,506,easy,6,0,easy
89,2,9,2,474,easy,17,1,medium
90,3,0,0,43,medium,27,1,medium
91,3,1,0,208,medium,51,0,easy
92,3,2,0,67,easy,56,0,easy
93,3,3,0,159,easy,39,0,easy
94,3,4,0,162,easy,58,1,easy
95,3,5,0,142,easy,39,0,easy
96,3,6,0,201,easy,10,1,medium
97,3,7,0,39,medium,28,0,easy
98,3,8,0,213,easy,12,1,medium
