,qid,Questions,Option1,Option2,Option3,Option4,Option5,Answer,sub_diff,diff_lev,cat,lev
0,0,A dishonest milkman professes to sell his milk at cost price but he mixes it with water and thereby gains 25%. The percentage of water in the mixture is:,4%,6%,20%,25%,,Answer: Option C,2,0,logical,2.0
1,1,How many kilogram of sugar costing Rs. 9 per kg must be mixed with 27 kg of sugar costing Rs. 7 per kg so that there may be a gain of 10% by selling the mixture at Rs. 9.24 per kg?,36 kg,42 kg,54 kg,63 kg,,Answer: Option D,1,0,logical,1.0
2,2,A container contains 40 litres of milk. From this container 4 litres of milk was taken out and replaced by water. This process was repeated further two times. How much milk is now contained by the container?,26.34 litres,27.36 litres,28 litres,29.16 litres,,Answer: Option D,0,0,logical,0.0
3,3,A jar full of whisky contains 40% alcohol. A part of this whisky is replaced by another containing 19% alcohol and now the percentage of alcohol was found to be 26%. The quantity of whisky replaced is:,"1
3","2
3","2
5","3
5",,Answer: Option B,2,0,logical,2.0
4,4,In what ratio must water be mixed with milk to gain 16% on selling the mixture at cost price?,1 : 6,6 : 1,2 : 3,4 : 3,,Answer: Option A,0,0,logical,0.0
5,5,"A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?","1
3","1
4","1
5","1
7",,Answer: Option C,2,0,logical,2.0
6,6,"Tea worth Rs. 126 per kg and Rs. 135 per kg are mixed with a third variety in the ratio 1 : 1 : 2. If the mixture is worth Rs. 153 per kg, the price of the third variety per kg will be:",Rs. 169.50,Rs. 170,Rs. 175.50,Rs. 180,,Answer: Option C,0,0,logical,0.0
7,7,"A can contains a mixture of two liquids A and B is the ratio 7 : 5. When 9 litres of mixture are drawn off and the can is filled with B, the ratio of A and B becomes 7 : 9. How many litres of liquid A was contained by the can initially?",10,20,21,25,,Answer: Option C,0,0,logical,0.0
8,8,A milk vendor has 2 cans of milk. The first contains 25% water and the rest milk. The second contains 50% water. How much milk should he mix from each of the containers so as to get 12 litres of milk such that the ratio of water to milk is 3 : 5?,"4 litres, 8 litres","6 litres, 6 litres","5 litres, 7 litres","7 litres, 5 litres",,Answer: Option B,2,0,logical,2.0
9,9,In what ratio must a grocer mix two varieties of pulses costing Rs. 15 and Rs. 20 per kg respectively so as to get a mixture worth Rs. 16.50 kg?,3 : 7,5 : 7,7 : 3,7 : 5,,Answer: Option C,0,0,logical,0.0
10,10,Find the ratio in which rice at Rs. 7.20 a kg be mixed with rice at Rs. 5.70 a kg to produce a mixture worth Rs. 6.30 a kg.,1 : 3,2 : 3,3 : 4,4 : 5,,Answer: Option B,0,0,logical,0.0
11,11,In what ratio must a grocer mix two varieties of tea worth Rs. 60 a kg and Rs. 65 a kg so that by selling the mixture at Rs. 68.20 a kg he may gain 10%?,3 : 2,3 : 4,3 : 5,4 : 5,,Answer: Option A,0,0,logical,0.0
12,12,"The cost of Type 1 rice is Rs. 15 per kg and Type 2 rice is Rs. 20 per kg. If both Type 1 and Type 2 are mixed in the ratio of 2 : 3, then the price per kg of the mixed variety of rice is:",Rs. 18,Rs. 18.50,Rs. 19,Rs. 19.50,,Answer: Option A,2,0,logical,2.0
13,13,8 litres are drawn from a cask full of wine and is then filled with water. This operation is performed three more times. The ratio of the quantity of wine now left in cask to that of water is 16 : 65. How much wine did the cask hold originally?,18 litres,24 litres,32 litres,42 litres,,Answer: Option B,2,0,logical,2.0
14,14,"A merchant has 1000 kg of sugar, part of which he sells at 8% profit and the rest at 18% profit. He gains 14% on the whole. The quantity sold at 18% profit is:",400 kg,560 kg,600 kg,640 kg,,Answer: Option C,2,0,logical,2.0
